Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass
Chicken orivirus 1,,Picornaviridae,Picornavirales,Pisoniviricetes
Chicken parvovirus 109/HRV/2009,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus 347/HUN/2008,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus 348/HUN/2008,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus 399/HRV/2010,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus 404/HRV/2010,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus 458/HRV/2010,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus 478/HRV/2010,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus 528/HUN/2009,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus 5B8/2009,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus 92/HRV/2009,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus A1/HUN/2009,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus ABU/HUN/2009,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus B1/HUN/2009,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Ch_114_10,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Ch1514/2007/HUN,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Ch1515/2007/HUN,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Ch189/2009/HUN,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Ch538/2009/HUN,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Ch5596_10/2010/HUN,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Ch5596_13/2010/HUN,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Ch5596_18/2010/HUN,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Ch5596_7/2010/HUN,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Ch841_3/2009/HUN,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Ch852/2009/HUN,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken parvovirus Cro/Glog/2010,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chicken picobirnavirus,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Chicken picornavirus,,Picornaviridae,Picornavirales,Pisoniviricetes
Chicken picornavirus 1,,Picornaviridae,Picornavirales,Pisoniviricetes
Chicken picornavirus 4,,Picornaviridae,Picornavirales,Pisoniviricetes
Chicken picornavirus 5,,Picornaviridae,Picornavirales,Pisoniviricetes
Chicken picornavirus HK-2014,,Picornaviridae,Picornavirales,Pisoniviricetes
Chicken picornavirus UCC13,,Picornaviridae,Picornavirales,Pisoniviricetes
Chicken proventricular necrosis virus,,Birnaviridae,,
Chicken proventriculitis virus,,Picornaviridae,Picornavirales,Pisoniviricetes
Chicken smacovirus mg2_55,,Smacoviridae,Cremevirales,Arfiviricetes
Chicken smacovirus mg4_881,,Smacoviridae,Cremevirales,Arfiviricetes
Chicken smacovirus mg4_885,,Smacoviridae,Cremevirales,Arfiviricetes
Chicken smacovirus mg4_964,,Smacoviridae,Cremevirales,Arfiviricetes
Chicken smacovirus mg5_1081,,Smacoviridae,Cremevirales,Arfiviricetes
Chicken smacovirus mg5_1212,,Smacoviridae,Cremevirales,Arfiviricetes
Chicken smacovirus mg5_1444,,Smacoviridae,Cremevirales,Arfiviricetes
Chicken smacovirus mg6_1052,,Smacoviridae,Cremevirales,Arfiviricetes
Chicken smacovirus mg7_57,,Smacoviridae,Cremevirales,Arfiviricetes
Chicken smacovirus mg7_67,,Smacoviridae,Cremevirales,Arfiviricetes
Chicken smacovirus mg8_345,,Smacoviridae,Cremevirales,Arfiviricetes
Chicken stool-associated circular virus,,,,
Chicken stool-associated gemycircularvirus,Gemycircularvirus,Genomoviridae,Geplafuvirales,Repensiviricetes
Chicken stool associated circular virus 1,,,,
Chicken stool associated circular virus 2,,,,
Chicken virus mg4_1578,,,,
Chicken virus mg4_2302,,,,
Chicken virus mg4_280,,,,
Chicken virus mg4_657,,,,
Chicken virus mg5_1345,,,,
Chicken virus mg5_2197,,,,
Chicken virus mg5_2676,,,,
Chicken virus mg5_2876,,,,
Chicken virus mg6_1197,,,,
Chicken virus mg6_2056,,,,
Chicken virus mg7_41u,,,,
Chicken virus mg7_59,,,,
Chicken virus mg8_273,,,,
Chicken virus mg8_324,,,,
Chikungunya virus,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Chiles partiti-like virus,,Partitiviridae,Durnavirales,Duplopiviricetes
Chilli veinal mottle virus,Potyvirus,Potyviridae,Patatavirales,Stelpaviricetes
Chimney swift adenovirus 1,,Adenoviridae,Rowavirales,Tectiliviricetes
Chimpanzee anellovirus,,Anelloviridae,,
Chimpanzee associated circovirus 1,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Chimpanzee associated cyclovirus 1,Cyclovirus,Circoviridae,Cirlivirales,Arfiviricetes
Chimpanzee associated porprismacovirus 1,Porprismacovirus,Smacoviridae,Cremevirales,Arfiviricetes
Chimpanzee associated porprismacovirus 2,Porprismacovirus,Smacoviridae,Cremevirales,Arfiviricetes
Chimpanzee astrovirus,,Astroviridae,Stellavirales,Stelpaviricetes
Chimpanzee bufavirus,,Parvoviridae,Piccovirales,Quintoviricetes
Chimpanzee circular ssDNA virus,,,,
Chimpanzee enterovirus CPS-2011,Enterovirus,Picornaviridae,Picornavirales,Pisoniviricetes
Chimpanzee faeces associated circular DNA molecule 1,,,,
Chimpanzee faeces associated circular DNA virus 1,,Circoviridae,Cirlivirales,Arfiviricetes
Chimpanzee GB virus C,Pegivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Chimpanzee gemykibivirus,Gemykibivirus,Genomoviridae,Geplafuvirales,Repensiviricetes
Chimpanzee parvovirus,,Parvoviridae,Piccovirales,Quintoviricetes
Chimpanzee picobirna-like virus,,,Picornavirales,Pisoniviricetes
Chimpanzee picobirnavirus,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Chimpanzee polyomavirus,,Polyomaviridae,Sepolyvirales,Papovaviricetes
Chimpanzee rhinovirus C,Enterovirus,Picornaviridae,Picornavirales,Pisoniviricetes
Chimpanzee salivirus,Salivirus,Picornaviridae,Picornavirales,Pisoniviricetes
Chimpanzee stool-associated RNA virus,,,Picornavirales,Pisoniviricetes
Chimpanzee stool associated circular ssDNA virus,Porprismacovirus,Smacoviridae,Cremevirales,Arfiviricetes
Chimpanzee torque teno virus,,Anelloviridae,,
China Rattus coronavirus HKU24,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Chinese broad-headed pond turtle arterivirus,,Reoviridae,Reovirales,Resentoviricetes
Chinese broad-headed pond turtle astro-like virus,,,,
Chinese broad-headed pond turtle hepacivirus,Hepacivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Chinese broad-headed pond turtle picornavirus 1,,,Picornavirales,Pisoniviricetes
Chinese broad-headed pond turtle picornavirus 2,,,Picornavirales,Pisoniviricetes
Chinese giant salamander virus,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes
Chinese softshell turtle hepacivirus,Hepacivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Chinese softshell turtle picornavirus 1,,,Picornavirales,Pisoniviricetes
Chinese softshell turtle picornavirus 2,,,Picornavirales,Pisoniviricetes
Chinstrap penguin adenovirus 1,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Chinstrap penguin adenovirus 2,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Chinstrap penguin adenovirus 3,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Chinstrap penguin adenovirus 4,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Chinstrap penguin adenovirus 5,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Chinstrap penguin adenovirus 6,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Chinstrap penguin adenovirus 7,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Chinstrap penguin adenovirus 8,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Chipapillomavirus 1,Chipapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Chipapillomavirus 2,Chipapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Chipapillomavirus 3,Chipapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Chiropteran bocaparvovirus 1,Bocaparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chiropteran bocaparvovirus 2,Bocaparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chiropteran bocaparvovirus 3,Bocaparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chiropteran bocaparvovirus 4,Bocaparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chiropteran dependoparvovirus 1,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chiropteran protoparvovirus 1,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chiropteran tetraparvovirus 1,Tetraparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Chloris striate mosaic virus,Mastrevirus,Geminiviridae,Geplafuvirales,Repensiviricetes
Chlorocebus aethiops lymphocryptovirus 1,Lymphocryptovirus,Herpesviridae,Herpesvirales,Herviviricetes
Chlorocebus aethiops lymphocryptovirus 2,Lymphocryptovirus,Herpesviridae,Herpesvirales,Herviviricetes
Chlorocebus cynosuros associated smacovirus,,,,
Chlorocebus pygerythrus polyomavirus 1,Alphapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Chlorocebus pygerythrus polyomavirus 2,Betapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Chlorocebus pygerythrus polyomavirus 3,Alphapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Chlorocebus sabaeus adenovirus,,Adenoviridae,Rowavirales,Tectiliviricetes
Chobar Gorge virus,Orbivirus,Reoviridae,Reovirales,Resentoviricetes
Choclo orthohantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Christensen virus,,,,
Ciconiid herpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Circo-like virus-Brazil,,,,
Circo-like virus Croatia 17_S17,,,,
Circoviridae NG24,,Circoviridae,Cirlivirales,Arfiviricetes
Circoviridae PKbeef21,,Circoviridae,Cirlivirales,Arfiviricetes
Circoviridae PorkNW2,,Circoviridae,Cirlivirales,Arfiviricetes
Circoviridae PorkNW2/USA/2009,,Circoviridae,Cirlivirales,Arfiviricetes
Circoviridae SFbeef/USA/2010,,Circoviridae,Cirlivirales,Arfiviricetes
Circoviridae SFpork/USA/2010,,Circoviridae,Cirlivirales,Arfiviricetes
Circoviridae sp.,,Circoviridae,Cirlivirales,Arfiviricetes
Circoviridae TaCV1,,Circoviridae,Cirlivirales,Arfiviricetes
Circoviridae TaCV2,,Circoviridae,Cirlivirales,Arfiviricetes
Circoviridae TN4,,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus-like NI/2007-3,,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus NG_chicken17,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus NG_chicken20,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus NG_chicken21,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus NG_chicken25,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus NG_chicken33,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus NG_chicken38,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus NG_chicken39,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus NG_chicken5,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus NG1,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus NG3,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus sp.,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Circovirus VS6600032,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Civet circovirus,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Coastal bearded dragon adenovirus,Atadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Coastal Plains tibrovirus,Tibrovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Coconut cadang-cadang viroid,Cocadviroid,Pospiviroidae,,
Coconut foliar decay alphasatellite 1,,Alphasatellitidae,,
Coconut foliar decay alphasatellite 2,,Alphasatellitidae,,
Coconut foliar decay alphasatellite 3,,Alphasatellitidae,,
Coconut foliar decay alphasatellite 4,,Alphasatellitidae,,
Coconut foliar decay alphasatellite 5,,Alphasatellitidae,,
Coconut foliar decay alphasatellite 6,,Alphasatellitidae,,
Coconut foliar decay alphasatellite 7,,Alphasatellitidae,,
Coconut foliar decay alphasatellite 8,,Alphasatellitidae,,
Coconut foliar decay alphasatellite R,,Alphasatellitidae,,
Coconut foliar decay virus,,Nanoviridae,Mulpavirales,Arfiviricetes
Coelho virus,,,,
Colobine gammaherpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Colobus badius cytomegalovirus 1,Cytomegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
Colobus guereza adenovirus,,Adenoviridae,Rowavirales,Tectiliviricetes
Colobus guereza adenovirus 1,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Colobus guereza adenovirus 2,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Colobus guereza adenovirus 3,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Colobus guereza cytomegalovirus 1,Cytomegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
Colobus guereza lymphocryptovirus 1,Lymphocryptovirus,Herpesviridae,Herpesvirales,Herviviricetes
Colobus polykomos lymphocryptovirus 1,Lymphocryptovirus,Herpesviridae,Herpesvirales,Herviviricetes
Columbid alphaherpesvirus 1,Mardivirus,Herpesviridae,Herpesvirales,Herviviricetes
Columnea latent viroid,Pospiviroid,Pospiviroidae,,
Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota,Rhadinovirus,Herpesviridae,Herpesvirales,Herviviricetes
Common buzzard alphaherpesvirus,,Herpesviridae,Herpesvirales,Herviviricetes
Common midwife toad virus,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes
Common moorhen coronavirus HKU21,Deltacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
common noctule adenovirus 1,,Adenoviridae,Rowavirales,Tectiliviricetes
common noctule adenovirus 2,,Adenoviridae,Rowavirales,Tectiliviricetes
common noctule adenovirus 3,,Adenoviridae,Rowavirales,Tectiliviricetes
Common noctule adenovirus HUN/2007,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
common pipistrelle adenovirus 2,,Adenoviridae,Rowavirales,Tectiliviricetes
Common pipistrelle adenovirus 3,,Adenoviridae,Rowavirales,Tectiliviricetes
Common pipistrelle adenovirus 4,,Adenoviridae,Rowavirales,Tectiliviricetes
Common squirell monkey adenovirus 1,,Adenoviridae,Rowavirales,Tectiliviricetes
Common squirell monkey adenovirus 2,,Adenoviridae,Rowavirales,Tectiliviricetes
Common squirell monkey adenovirus 3,,Adenoviridae,Rowavirales,Tectiliviricetes
Common squirrel monkey adenovirus 1,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Cook virus,,,,
Cooper virus,,,,
Cope virus,,,,
Corella adenovirus 1,Siadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Corn snake parvovirus,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Coronaviridae sp.,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus AcCoV-JC34,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BCoV/PB675/Art_lit/PAN/2011,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/B85/HUN/2013,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/BRA100/Car_per/BRA/2009,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/BRA114/Car_bre/BRA/2009,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/BRA118/Car_per/BRA/2009,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/BRA119/Car_per/BRA/2009,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/BRA182/Mol_ruf/BRA/2009,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/BRA344/Car_bre/BRA/2009,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/BRAP103/Mol_cur/BRA/2009,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/BS49/HUN/2013,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/E63/HUN/2013,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR216/Car_per/CRC/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR230/Pte_par/CRC/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR24/Ano_geo/CRC/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR252/Car_per/CRC/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR253/Car_per/CRC/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR289/Ano_geo/CRC/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR291/Ano_geo/CRC/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR293/Ano_geo/CRC/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR370/Pte_par/CRC/2011,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR372/Car_per/CRC/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR90/Car_per/CRC/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KCR91/Car_per/CRC/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KP256/Art_jam/PAN/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KP524/Art_jam/PAN/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KP534/Art_lit/PAN/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KP565/Art_jam/PAN/2010,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KP816/Phy_dis/PAN/2011,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/KP817/Phy_dis/PAN/2011,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/M67/HUN/2013,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/M8/HUN/2013,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/M9/HUN/2013,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/OCR11/Pte_par/CRC/2011,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtCoV/V16/HUN/2013,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtRs-AlphaCoV/YN2018,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtRs-BetaCoV/YN2018A,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtRs-BetaCoV/YN2018B,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtRs-BetaCoV/YN2018C,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtRs-BetaCoV/YN2018D,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtRt-BetaCoV/GX2018,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtSk-AlphaCoV/GX2018A,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtSk-AlphaCoV/GX2018B,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtSk-AlphaCoV/GX2018C,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus BtSk-AlphaCoV/GX2018D,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus cya-BetaCoV/2019,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus cyb-BetaCoV/2019,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus cyc-BetaCoV/2019,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Hare_CoV/La06_377/Lep_gra/ESP/2006,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Hare_CoV/La06_378/Lep_gra/ESP/2006,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Hare_CoV/La06_379/Lep_gra/ESP/2006,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Hare_CoV/La06_380/Lep_gra/ESP/2006,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Hare_CoV/La06_382/Lep_gra/ESP/2006,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Hare_CoV/La06_383/Lep_gra/ESP/2006,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Hare_CoV/La08_60/Lep_gra/ESP/2008,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Hare_CoV/La08_96/Lep_gra/ESP/2008,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Hare_CoV/La08_99/Lep_gra/ESP/2008,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus HKU15,Deltacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus JC02,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus JC30,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus JC54,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus JC66,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus JC81,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.das/VM105/2006/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.das/VM2/2007/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.das/VM284/2008/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.das/VM3/2007/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.das/VM34/2006/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.das/VM62/2007/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.das/VM7/2007/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.das/VM73/2007/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.das/VM84/2007/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.dau/VM222/2007/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.dau/VM303/2008/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus M.dau/VM361/2008/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Mex_CoV-1,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Mex_CoV-10,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Mex_CoV-11a,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
coronavirus Mex_CoV-11b,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Mex_CoV-2,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Mex_CoV-3,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Mex_CoV-4,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Mex_CoV-5a,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Mex_CoV-5b,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Mex_CoV-7,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Mex_CoV-8,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus Mex_CoV-9,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus N.noc/VM176/2007/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus N.noc/VM182/2007/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus N.noc/VM199/2007/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus N.noc/VM366/2008/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus oystercatcher/p17/2006/GBR,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus P.pipi/VM312/2008/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus P.pipi/VM314/2008/NLD,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PgCoV-1,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PgCoV-2,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PgCoV-3,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PgCoV-4,,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PREDICT CoV-10,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PREDICT CoV-11,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PREDICT CoV-12,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PREDICT CoV-13,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PREDICT CoV-14,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PREDICT CoV-15,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PREDICT CoV-17,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PREDICT CoV-2,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PREDICT CoV-20,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Coronavirus PREDICT CoV-21,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
