Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,HostSynonyms,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,VirusFlagContaminant,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,NCBIAccession,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay
equus ferus,zetapapillomavirus 1,NA,NA,NA,TRUE,equus,equidae,perissodactyla,mammalia,NA,NA,zetapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,NC_003748,2002,4,28,NA,NA,NA
equus grevyi,equid alphaherpesvirus 1,NA,NA,NA,TRUE,equus,equidae,perissodactyla,mammalia,NA,NA,varicellovirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,DQ095873,2006,7,1,NA,NA,NA
equus grevyi,equid alphaherpesvirus 9,NA,NA,NA,TRUE,equus,equidae,perissodactyla,mammalia,NA,NA,varicellovirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,EU717148,2008,11,15,NA,NA,NA
equus hemionus,equid alphaherpesvirus 1,NA,NA,NA,TRUE,equus,equidae,perissodactyla,mammalia,NA,NA,varicellovirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB187029,2005,2,10,NA,NA,NA
equus hemionus,equid alphaherpesvirus 9,NA,NA,NA,TRUE,equus,equidae,perissodactyla,mammalia,NA,NA,varicellovirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,EU717147,2008,11,15,NA,NA,NA
equus kiang,equid alphaherpesvirus 9,NA,NA,NA,TRUE,equus,equidae,perissodactyla,mammalia,NA,NA,varicellovirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,EU717156,2008,11,15,NA,NA,NA
equus przewalskii,influenza a virus,NA,NA,NA,TRUE,equus,equidae,perissodactyla,mammalia,NA,NA,alphainfluenzavirus,orthomyxoviridae,articulavirales,insthoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,EU794564,2009,7,28,2007,12,NA
equus zebra,deltapapillomavirus 4,NA,NA,NA,TRUE,equus,equidae,perissodactyla,mammalia,NA,NA,deltapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,FJ648519,2009,5,20,2003,9,NA
erethizon dorsatum,erethizon dorsatum papillomavirus 2,NA,NA,NA,TRUE,erethizon,erethizontidae,rodentia,mammalia,NA,NA,NA,papillomaviridae,zurhausenvirales,papovaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MH376689,2018,7,17,2016,NA,NA
erethizon dorsatum,sigmapapillomavirus 1,NA,NA,NA,TRUE,erethizon,erethizontidae,rodentia,mammalia,NA,NA,sigmapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AY684126,2005,1,10,NA,NA,NA
erethizon dorsatum,skunk mastadenovirus a,NA,NA,NA,TRUE,erethizon,erethizontidae,rodentia,mammalia,NA,NA,mastadenovirus,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN310687,2020,1,21,2017,NA,NA
eretmochelys imbricata,chelonid alphaherpesvirus 5,NA,NA,NA,TRUE,eretmochelys,cheloniidae,testudines,reptilia,NA,NA,scutavirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AY395516,2004,9,30,NA,NA,NA
erinaceus amurensis,erinaceus amurensis coronavirus,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,NA,coronaviridae,nidovirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN879331,2020,10,28,2017,4,24
erinaceus amurensis,erinaceus hedgehog coronavirus cw_6c,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN814328,2020,9,26,2017,4,24
erinaceus amurensis,erinaceus hedgehog coronavirus hku31,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MK907286,2019,11,11,2014,8,NA
erinaceus europaeus,belerina virus,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN561699,2020,7,4,2015,NA,NA
erinaceus europaeus,betacoronavirus erinaceus,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MT024739,2020,3,30,2018,NA,NA
erinaceus europaeus,betacoronavirus sp.,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,LC334357,2017,11,28,NA,NA,NA
erinaceus europaeus,dabie bandavirus,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,bandavirus,phenuiviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KR230768,2016,12,30,2014,1,1
erinaceus europaeus,dyoetapapillomavirus 1,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,dyoetapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,NC_011765,2008,12,22,2006,7,27
erinaceus europaeus,hedgehog coronavirus 1,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KC545383,2013,10,21,2012,NA,NA
erinaceus europaeus,hedgehog hepatovirus,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,hepatovirus,picornaviridae,picornavirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KT452692,2015,11,2,2014,NA,NA
erinaceus europaeus,hedgehog herpesvirus,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,NA,NA,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG253639,2018,9,10,2016,7,12
erinaceus europaeus,hepatovirus h,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,hepatovirus,picornaviridae,picornavirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KT452691,2015,11,2,2014,NA,NA
erinaceus europaeus,human alphaherpesvirus 1,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,simplexvirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG253634,2018,9,10,NA,NA,NA
erinaceus roumanicus,cadicivirus b,NA,NA,NA,TRUE,erinaceus,erinaceidae,erinaceomorpha,mammalia,NA,NA,dicipivirus,picornaviridae,picornavirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MF188967,2017,10,4,2015,4,NA
erithacus rubecula,atadenovirus sp.,NA,NA,NA,TRUE,erithacus,muscicapidae,passeriformes,aves,NA,NA,atadenovirus,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN380552,2020,2,18,2017,NA,NA
erithacus rubecula,avipoxvirus isolate sevilla,NA,NA,NA,TRUE,erithacus,muscicapidae,passeriformes,aves,NA,NA,avipoxvirus,poxviridae,chitovirales,pokkesviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KF385499,2014,7,11,2011,7,20
erythrocebus patas,cercopithecine alphaherpesvirus 9,NA,NA,NA,TRUE,erythrocebus,cercopithecidae,primates,mammalia,NA,NA,varicellovirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,U12388,1994,8,13,NA,NA,NA
erythrocebus patas,erythrocebus patas adenovirus,NA,NA,NA,TRUE,erythrocebus,cercopithecidae,primates,mammalia,NA,NA,NA,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KU872864,2016,11,27,2012,NA,NA
erythrocebus patas,erythrocebus patas lymphocryptovirus 1,NA,NA,NA,TRUE,erythrocebus,cercopithecidae,primates,mammalia,NA,NA,lymphocryptovirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AY728175,2005,9,1,NA,NA,NA
erythrocebus patas,simian foamy virus,NA,NA,NA,TRUE,erythrocebus,cercopithecidae,primates,mammalia,NA,NA,spumavirus,retroviridae,ortervirales,revtraviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AY278780,2004,3,22,NA,NA,NA
erythrocebus patas,simian immunodeficiency virus,NA,NA,NA,TRUE,erythrocebus,cercopithecidae,primates,mammalia,NA,NA,lentivirus,retroviridae,ortervirales,revtraviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,U26299,1995,10,2,NA,NA,NA
erythrocebus patas,yellow fever virus,NA,NA,NA,TRUE,erythrocebus,cercopithecidae,primates,mammalia,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,GU073141,2009,11,7,1978,NA,NA
erythrura gouldiae,erythrura gouldiae polyomavirus 1,NA,NA,NA,TRUE,erythrura,estrildidae,passeriformes,aves,NA,NA,gammapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KT302407,2015,8,4,2014,11,26
erythrura gouldiae,gouldian finch adenovirus 1,NA,NA,NA,TRUE,erythrura,estrildidae,passeriformes,aves,NA,NA,siadenovirus,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KF031569,2013,8,31,2011,NA,NA
erythrura gouldiae,gouldian finch circovirus,NA,NA,NA,TRUE,erythrura,estrildidae,passeriformes,aves,NA,NA,circovirus,circoviridae,cirlivirales,arfiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,JX131620,2012,8,20,2011,NA,NA
erythrura gouldiae,passerid herpesvirus 1,NA,NA,NA,TRUE,erythrura,estrildidae,passeriformes,aves,NA,NA,iltovirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AF520812,2002,7,8,NA,NA,NA
erythrura gouldiae,pyrrhula pyrrhula polyomavirus 1,NA,NA,NA,TRUE,erythrura,estrildidae,passeriformes,aves,NA,NA,gammapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,JX425365,2012,10,3,2000,NA,NA
estrilda melpoda,ingwavuma orthobunyavirus,NA,NA,NA,TRUE,estrilda,estrildidae,passeriformes,aves,NA,NA,orthobunyavirus,peribunyaviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AM709782,2007,5,16,1971,12,29
estrilda troglodytes,passeriform 2 orthobornavirus,NA,NA,NA,TRUE,estrilda,estrildidae,passeriformes,aves,NA,NA,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KF680099,2013,12,25,2013,1,NA
eubalaena australis,cetacean morbillivirus,NA,NA,NA,TRUE,eubalaena,balaenidae,cetacea,mammalia,NA,NA,morbillivirus,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MH497060,2018,11,5,2010,9,14
eubalaena australis,cetacean poxvirus 2,NA,NA,NA,TRUE,eubalaena,balaenidae,cetacea,mammalia,NA,NA,orthopoxvirus,poxviridae,chitovirales,pokkesviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KM000064,2016,6,30,2013,1,1
euderma maculatum,rabies lyssavirus,NA,NA,NA,TRUE,euderma,vespertilionidae,chiroptera,mammalia,NA,NA,lyssavirus,rhabdoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AY170262,2003,5,13,NA,NA,NA
eudocimus albus,eastern equine encephalitis virus,NA,NA,NA,TRUE,eudocimus,threskiornithidae,pelecaniformes,aves,NA,NA,alphavirus,togaviridae,martellivirales,alsuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,HM196182,2011,2,9,1992,6,25
eudorcas thomsonii,equid alphaherpesvirus 1,NA,NA,NA,TRUE,eudorcas,bovidae,artiodactyla,mammalia,NA,NA,varicellovirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB187031,2005,2,10,NA,NA,NA
eudorcas thomsonii,equine herpesvirus gazella/6755/nld/2009,NA,NA,NA,TRUE,eudorcas,bovidae,artiodactyla,mammalia,NA,NA,varicellovirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,HM216494,2010,7,18,2009,NA,NA
eudromia elegans,tinamou hepatitis b virus,NA,NA,NA,TRUE,eudromia,tinamidae,tinamiformes,aves,NA,NA,avihepadnavirus,hepadnaviridae,blubervirales,revtraviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KY977506,2017,7,5,2015,5,NA
eudyptula minor,beak and feather disease virus,NA,NA,NA,TRUE,eudyptula,spheniscidae,sphenisciformes,aves,NA,NA,circovirus,circoviridae,cirlivirales,arfiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN114122,2020,10,31,2017,NA,NA
eulemur coronatus,crowned lemur adenovirus,NA,NA,NA,TRUE,eulemur,lemuridae,primates,mammalia,NA,NA,NA,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG574566,2018,8,20,2015,NA,NA
eulemur macaco,black lemur adenovirus 1,NA,NA,NA,TRUE,eulemur,lemuridae,primates,mammalia,NA,NA,NA,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG574567,2018,8,20,2014,NA,NA
eulemur macaco,black lemur adenovirus 2,NA,NA,NA,TRUE,eulemur,lemuridae,primates,mammalia,NA,NA,NA,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG574568,2018,8,20,2014,NA,NA
eulemur macaco,black lemur adenovirus 3,NA,NA,NA,TRUE,eulemur,lemuridae,primates,mammalia,NA,NA,NA,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG574569,2018,8,20,2014,NA,NA
eulemur rufifrons,lemur adenovirus,NA,NA,NA,TRUE,eulemur,lemuridae,primates,mammalia,NA,NA,NA,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG574571,2018,8,20,2013,NA,NA
eulemur rufifrons,red-fronted lemur adenovirus 1,NA,NA,NA,TRUE,eulemur,lemuridae,primates,mammalia,NA,NA,NA,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG574570,2018,8,20,2013,NA,NA
eulemur rufifrons,red-fronted lemur adenovirus 2.1,NA,NA,NA,TRUE,eulemur,lemuridae,primates,mammalia,NA,NA,NA,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG574572,2018,8,20,2013,NA,NA
eulemur rufifrons,red-fronted lemur adenovirus 2.2,NA,NA,NA,TRUE,eulemur,lemuridae,primates,mammalia,NA,NA,NA,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG574573,2018,8,20,2013,NA,NA
eumetopias jubatus,avian orthoreovirus,NA,NA,NA,TRUE,eumetopias,otariidae,carnivora,mammalia,NA,NA,orthoreovirus,reoviridae,reovirales,resentoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,HM222971,2011,8,24,NA,NA,NA
eumetopias jubatus,phocine morbillivirus,NA,NA,NA,TRUE,eumetopias,otariidae,carnivora,mammalia,NA,NA,morbillivirus,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MH392516,2020,2,24,2004,7,12
eumetopias jubatus,seal parapoxvirus,NA,NA,NA,TRUE,eumetopias,otariidae,carnivora,mammalia,NA,NA,parapoxvirus,poxviridae,chitovirales,pokkesviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AY952940,2005,3,29,NA,NA,NA
eumetopias jubatus,steller sea lion astrovirus 1,NA,NA,NA,TRUE,eumetopias,otariidae,carnivora,mammalia,NA,NA,mamastrovirus,astroviridae,stellavirales,stelpaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,FJ890354,2009,6,6,2008,NA,NA
eumetopias jubatus,steller sea lion poxvirus,NA,NA,NA,TRUE,eumetopias,otariidae,carnivora,mammalia,NA,NA,orthopoxvirus,poxviridae,chitovirales,pokkesviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AY424954,2003,11,1,NA,NA,NA
eumops auripendulus,rabies lyssavirus,NA,NA,NA,TRUE,eumops,molossidae,chiroptera,mammalia,NA,NA,lyssavirus,rhabdoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB201809,2005,8,9,NA,NA,NA
eumops bonariensis,rabies lyssavirus,NA,NA,NA,TRUE,eumops,molossidae,chiroptera,mammalia,NA,NA,lyssavirus,rhabdoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,JF738316,2012,3,31,1997,NA,NA
eumops glaucinus,bat coronavirus eum.gla/242/bra/2013,NA,NA,NA,TRUE,eumops,molossidae,chiroptera,mammalia,NA,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KT717386,2016,9,5,2013,NA,NA
eumops glaucinus,rabies lyssavirus,NA,NA,NA,TRUE,eumops,molossidae,chiroptera,mammalia,NA,NA,lyssavirus,rhabdoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,GU646793,2011,6,18,NA,NA,NA
eumops patagonicus,rabies lyssavirus,NA,NA,NA,TRUE,eumops,molossidae,chiroptera,mammalia,NA,NA,lyssavirus,rhabdoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AY233429,2004,2,28,NA,NA,NA
eumops perotis,rabies lyssavirus,NA,NA,NA,TRUE,eumops,molossidae,chiroptera,mammalia,NA,NA,lyssavirus,rhabdoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,EF363729,2007,2,12,NA,NA,NA
eunectes murinus,reptilian ferlavirus,NA,NA,NA,TRUE,eunectes,boidae,squamata,reptilia,NA,NA,ferlavirus,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KJ956404,2014,8,14,2011,10,NA
eunymphicus cornutus,beak and feather disease virus,NA,NA,NA,TRUE,eunymphicus,psittacidae,psittaciformes,aves,NA,NA,circovirus,circoviridae,cirlivirales,arfiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,EU139450,2007,9,26,NA,NA,NA
euphagus cyanocephalus,west nile virus,NA,NA,NA,TRUE,euphagus,icteridae,passeriformes,aves,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KJ501509,2014,6,30,2001,NA,NA
euplectes afer,batama orthobunyavirus,NA,NA,NA,TRUE,euplectes,ploceidae,passeriformes,aves,NA,NA,orthobunyavirus,peribunyaviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MK896624,2020,7,5,1970,8,28
euplectes afer,bimbo virus,NA,NA,NA,TRUE,euplectes,ploceidae,passeriformes,aves,NA,NA,NA,rhabdoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,GU816016,2010,7,28,1970,NA,NA
euplectes afer,kolongo virus,NA,NA,NA,TRUE,euplectes,ploceidae,passeriformes,aves,NA,NA,NA,rhabdoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,GU816020,2010,7,28,1970,NA,NA
eupodotis senegalensis,influenza a virus,NA,NA,NA,TRUE,eupodotis,otididae,otidiformes,aves,NA,NA,alphainfluenzavirus,orthomyxoviridae,articulavirales,insthoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KC555075,2013,8,8,2011,7,24
euprepiophis mandarinus,guangdong mandarin rat snake torovirus,NA,NA,NA,TRUE,euprepiophis,colubridae,squamata,reptilia,NA,NA,torovirus,tobaniviridae,nidovirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG600031,2018,3,19,NA,NA,NA
eupsittula aurea,avian bornavirus,NA,NA,NA,TRUE,eupsittula,psittacidae,psittaciformes,aves,NA,NA,NA,bornaviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG963918,2018,10,28,2015,4,NA
eupsittula aurea,psittacid alphaherpesvirus 1,NA,NA,NA,TRUE,eupsittula,psittacidae,psittaciformes,aves,NA,NA,iltovirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,FJ694855,2009,7,1,2008,3,14
eurillas virens,nasoule virus,NA,NA,NA,TRUE,eurillas,pycnonotidae,passeriformes,aves,NA,NA,NA,rhabdoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,GU816017,2010,7,28,1973,NA,NA
eurycea wilderae,frog virus 3,NA,NA,NA,TRUE,eurycea,plethodontidae,caudata,amphibia,NA,NA,ranavirus,iridoviridae,pimascovirales,megaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,GQ326566,2009,8,4,2007,4,21
failed,alethinophid 3 reptarenavirus,NA,NA,NA,TRUE,failed,pythonidae,squamata,reptilia,NA,NA,reptarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KU214828,2016,3,12,2013,11,5
failed,avian bornavirus,NA,NA,NA,TRUE,failed,psittacidae,psittaciformes,aves,NA,NA,NA,bornaviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG963919,2018,10,28,2015,4,NA
failed,ball python nidovirus 1,NA,NA,NA,TRUE,failed,pythonidae,squamata,reptilia,NA,NA,pregotovirus,tobaniviridae,nidovirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KJ541759,2014,8,20,2007,6,1
