HostOriginal,Accession,HostFlagID,VirusOriginal,CollectionYear,CollectionMonth,CollectionDay,ReleaseYear,ReleaseMonth,ReleaseDay,Database,DatabaseVersion,DetectionMethod,Virus,VirusGenus,VirusFamily,VirusOrder,VirusNCBIResolved,VirusTaxID,VirusClass,HostTaxID,HostNCBIResolved,Host,HostGenus,HostFamily,HostOrder,HostClass
Eidolon helvum,KX285294,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285295,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285296,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285297,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285298,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285300,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285301,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285302,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285323,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285324,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285325,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285326,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285327,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285328,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285329,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285330,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285331,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285332,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285900,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285901,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285902,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285903,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285904,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285905,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285906,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285907,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285908,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285909,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285930,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285931,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285932,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285933,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285934,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285935,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285936,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285937,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285938,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285939,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285961,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285962,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285963,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285964,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285965,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285966,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285967,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX285968,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX286002,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,KX286003,FALSE,strain of Eidolon bat coronavirus,2013,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,983924,Pisoniviricetes,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,NA,TRUE,strain of Eidolon bat coronavirus,2018,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,NA,TRUE,strain of Eidolon bat coronavirus,2017,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,NA,TRUE,strain of Eidolon bat coronavirus,2017,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,NA,TRUE,strain of Eidolon bat coronavirus,2018,1,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,NA,TRUE,strain of Eidolon bat coronavirus,2018,2,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,NA,TRUE,strain of Eidolon bat coronavirus,2018,3,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,NA,TRUE,strain of Eidolon bat coronavirus,2018,4,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,NA,TRUE,strain of Eidolon bat coronavirus,2017,8,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Eidolon helvum,NA,TRUE,strain of Eidolon bat coronavirus,2017,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,77214,TRUE,Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,Mammalia
Epomophorus gambianus,NA,TRUE,strain of Eidolon bat coronavirus,2017,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Eidolon bat coronavirus,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,372077,TRUE,Epomophorus gambianus,Epomophorus,Pteropodidae,Chiroptera,Mammalia
Pipistrellus pipistrellus,KX285209,FALSE,PREDICT_CoV-57,2013,7,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-57,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042581,Pisoniviricetes,59474,TRUE,Pipistrellus pipistrellus,Pipistrellus,Vespertilionidae,Chiroptera,Mammalia
Hipposideros galeritus,KX284939,FALSE,PREDICT_CoV-51,2012,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-51,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042575,Pisoniviricetes,58069,TRUE,Hipposideros galeritus,Hipposideros,Hipposideridae,Chiroptera,Mammalia
Rhinolophus creaghi,KX286261,FALSE,PREDICT_CoV-51,2012,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-51,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042575,Pisoniviricetes,178895,TRUE,Rhinolophus creaghi,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia
Hipposideros galeritus,KX286262,FALSE,PREDICT_CoV-51,2012,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-51,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042575,Pisoniviricetes,58069,TRUE,Hipposideros galeritus,Hipposideros,Hipposideridae,Chiroptera,Mammalia
Myotis ricketti,KX285139,FALSE,strain of Myotis alphacoronavirus,2013,2,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Myotis alphacoronavirus,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042699,Pisoniviricetes,203696,TRUE,Myotis ricketti,Myotis,Vespertilionidae,Chiroptera,Mammalia
Myotis ricketti,KX285143,FALSE,strain of Myotis alphacoronavirus,2013,2,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Myotis alphacoronavirus,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042699,Pisoniviricetes,203696,TRUE,Myotis ricketti,Myotis,Vespertilionidae,Chiroptera,Mammalia
Myotis ricketti,KX285144,FALSE,strain of Myotis alphacoronavirus,2013,2,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Myotis alphacoronavirus,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042699,Pisoniviricetes,203696,TRUE,Myotis ricketti,Myotis,Vespertilionidae,Chiroptera,Mammalia
Myotis ricketti,KX285146,FALSE,strain of Myotis alphacoronavirus,2013,2,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Myotis alphacoronavirus,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042699,Pisoniviricetes,203696,TRUE,Myotis ricketti,Myotis,Vespertilionidae,Chiroptera,Mammalia
Cynopterus horsfieldii,KX285114,FALSE,strain of Philippines/Diliman1525G2/2008,2013,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus Philippines/Diliman1525G2/2008,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,702734,Pisoniviricetes,298109,TRUE,Cynopterus horsfieldii,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Dyacopterus spadiceus,KX285787,FALSE,strain of Philippines/Diliman1525G2/2008,2013,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus Philippines/Diliman1525G2/2008,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,702734,Pisoniviricetes,326081,TRUE,Dyacopterus spadiceus,Dyacopterus,Pteropodidae,Chiroptera,Mammalia
Cynopterus horsfieldii,NA,TRUE,strain of Philippines/Diliman1525G2/2008,2018,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Philippines/Diliman1525G2/2008,Betacoronavirus,Coronaviridae,Nidovirales,FALSE,NA,NA,298109,TRUE,Cynopterus horsfieldii,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Megaerops ecaudatus,NA,TRUE,strain of Philippines/Diliman1525G2/2008,2017,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Philippines/Diliman1525G2/2008,Betacoronavirus,Coronaviridae,Nidovirales,FALSE,NA,NA,298110,TRUE,Megaerops ecaudatus,Megaerops,Pteropodidae,Chiroptera,Mammalia
Hipposideros cervinus,NA,TRUE,PREDICT_CoV-52,2016,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_CoV-52,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,170233,TRUE,Hipposideros cervinus,Hipposideros,Hipposideridae,Chiroptera,Mammalia
Hipposideros cervinus,NA,TRUE,PREDICT_CoV-52,2015,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_CoV-52,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,170233,TRUE,Hipposideros cervinus,Hipposideros,Hipposideridae,Chiroptera,Mammalia
Myotis horsfieldii,NA,TRUE,PREDICT_CoV-52,2016,1,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_CoV-52,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,138977,TRUE,Myotis horsfieldii,Myotis,Vespertilionidae,Chiroptera,Mammalia
Hipposideros diadema,NA,TRUE,PREDICT_CoV-52,2016,1,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_CoV-52,NA,Coronaviridae,Nidovirales,FALSE,NA,NA,59453,TRUE,Hipposideros diadema,Hipposideros,Hipposideridae,Chiroptera,Mammalia
Hipposideros diadema,KX284940,FALSE,PREDICT_CoV-52,2013,8,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-52,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042576,Pisoniviricetes,59453,TRUE,Hipposideros diadema,Hipposideros,Hipposideridae,Chiroptera,Mammalia
Hipposideros diadema,KX286260,FALSE,PREDICT_CoV-52,2013,8,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-52,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042576,Pisoniviricetes,59453,TRUE,Hipposideros diadema,Hipposideros,Hipposideridae,Chiroptera,Mammalia
