Pathogen_Intermediate,Pathogen,taxid,PathogenGenus,PathogenFamily,PathogenOrder,PathogenClass
Polylekithum catahoulensis,Polylekithum catahoulensis,415305,Polylekithum,Allocreadiidae,Plagiorchiida,Trematoda
Polylekithum ictaluri,Polylekithum ictaluri,349305,Polylekithum,Allocreadiidae,Plagiorchiida,Trematoda
Bacillus mycoides,Bacillus mycoides,1405,Bacillus,Bacillaceae,Bacillales,Bacilli
Megalogonia ictaluri,Megalogonia ictaluri,415301,Megalogonia,Allocreadiidae,Plagiorchiida,Trematoda
Megathylacoides giganteum,Megathylacoides giganteum,245510,Megathylacoides,Proteocephalidae,Proteocephalidea,Cestoda
Oerskovia turbata,Oerskovia turbata,1713,Oerskovia,Cellulomonadaceae,Micrococcales,Actinomycetia
Streptococcus ictaluri,Streptococcus ictaluri,380397,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
Corallobothrium solidum,Corallobothrium solidum,246872,Corallobothrium,Proteocephalidae,Proteocephalidea,Cestoda
Thaparocleidus campylopterocirrus,Thaparocleidus campylopterocirrus,428586,Thaparocleidus,Ancylodiscoididae,Dactylogyridea,Monogenea
Thaparocleidus siamensis,Thaparocleidus siamensis,126293,Thaparocleidus,Ancylodiscoididae,Dactylogyridea,Monogenea
Wohlfahrtiimonas chitiniclastica,Wohlfahrtiimonas chitiniclastica,400946,Wohlfahrtiimonas,NA,NA,Gammaproteobacteria
Mucor circinelloides,Mucor circinelloides,36080,Mucor,Mucoraceae,Mucorales,Mucoromycetes
Myroides odoratimimus,Myroides odoratimimus,76832,Myroides,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
Philometroides fulvidraconi,Philometroides fulvidraconi,332282,Philometroides,Philometridae,Rhabditida,Chromadorea
Procamallanus fulvidraconis,Procamallanus fulvidraconis,332289,Procamallanus,Camallanidae,Rhabditida,Chromadorea
Crepidobothrium eirasi,Crepidobothrium eirasi,100397,Crepidobothrium,Proteocephalidae,Proteocephalidea,Cestoda
Ephedrocephalus microcephalus,Ephedrocephalus microcephalus,100416,Ephedrocephalus,Monticelliidae,Proteocephalidea,Cestoda
Proteocephalus hemioliopteri,Proteocephalus hemioliopteri,100440,Proteocephalus,Proteocephalidae,Proteocephalidea,Cestoda
Proteocephalus pirarara,Proteocephalus pirarara,100436,Proteocephalus,Proteocephalidae,Proteocephalidea,Cestoda
Zygobothrium megacephalum,Zygobothrium megacephalum,100422,Zygobothrium,Monticelliidae,Proteocephalidea,Cestoda
Goezeella siluri,Goezeella siluri,100418,Goezeella,Monticelliidae,Proteocephalidea,Cestoda
Nomimoscolex admonticellia,Nomimoscolex admonticellia,100443,Nomimoscolex,Monticelliidae,Proteocephalidea,Cestoda
Nomimoscolex lopesi,Nomimoscolex lopesi,100437,Nomimoscolex,Monticelliidae,Proteocephalidea,Cestoda
Nomimoscolex sudobim,Nomimoscolex sudobim,100410,Nomimoscolex,Monticelliidae,Proteocephalidea,Cestoda
Peltidocotyle rugosa,Peltidocotyle rugosa,93232,Peltidocotyle,Proteocephalidae,Proteocephalidea,Cestoda
Harriscolex kaparari,Harriscolex kaparari,109194,Harriscolex,Monticelliidae,Proteocephalidea,Cestoda
Clavinema parasiluri,Clavinema parasiluri,332280,Clavinema,Philometridae,Rhabditida,Chromadorea
Gangesia parasiluri,Gangesia parasiluri,100399,Gangesia,Proteocephalidae,Proteocephalidea,Cestoda
Paraproteocephalus parasiluri,Paraproteocephalus parasiluri,100407,Paraproteocephalus,Proteocephalidae,Proteocephalidea,Cestoda
Glanitaenia osculata,Glanitaenia osculata,100438,Glanitaenia,Proteocephalidae,Proteocephalidea,Cestoda
Silurotaenia siluri,Silurotaenia siluri,100401,Silurotaenia,Proteocephalidae,Proteocephalidea,Cestoda
Thaparocleidus siluri,Thaparocleidus siluri,198452,Thaparocleidus,Ancylodiscoididae,Dactylogyridea,Monogenea
Thaparocleidus vistulensis,Thaparocleidus vistulensis,198453,Thaparocleidus,Ancylodiscoididae,Dactylogyridea,Monogenea
Spatulifer maringaensis,Spatulifer maringaensis,100426,Spatulifer,Monticelliidae,Proteocephalidea,Cestoda
Nomimoscolex lenha,Nomimoscolex lenha,100433,Nomimoscolex,Monticelliidae,Proteocephalidea,Cestoda
Peltidocotyle lenha,Peltidocotyle lenha,93227,Peltidocotyle,Proteocephalidae,Proteocephalidea,Cestoda
Balanotaenia bancrofti,Balanotaenia bancrofti,137567,Balanotaenia,Balanotaeniidae,Caryophyllidea,Cestoda
Vibrio furnissii,Vibrio furnissii,29494,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Dentiphilometra monopteri,Dentiphilometra monopteri,332284,Dentiphilometra,Philometridae,Rhabditida,Chromadorea
Polyonchobothrium polypteri,Polyonchobothrium polypteri,164596,Polyonchobothrium,Bothriocephalidae,Bothriocephalidea,Cestoda
Monticellia ophisterni,Monticellia ophisterni,245512,Monticellia,Monticelliidae,Proteocephalidea,Cestoda
Bulbocirrus aulostomi,Bulbocirrus aulostomi,681664,Bulbocirrus,Lepocreadiidae,Plagiorchiida,Trematoda
Vibrio hippocampi,Vibrio hippocampi,654686,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Gyrodactylus eyipayipi,Gyrodactylus eyipayipi,595599,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Chryseobacterium hominis,Chryseobacterium hominis,420404,Epilithonimonas,Weeksellaceae,Flavobacteriales,Flavobacteriia
Trigonocryptus conus,Trigonocryptus conus,73569,Trigonocryptus,Faustulidae,Plagiorchiida,Trematoda
Diplocreadium tsontso,Diplocreadium tsontso,681673,Diplocreadium,Lepocreadiidae,Plagiorchiida,Trematoda
Cableia pudica,Cableia pudica,116769,Cableia,Acanthocolpidae,Opisthorchiida,Trematoda
Loma psittaca,Loma psittaca,679728,Loma,Glugeidae,NA,NA
Vibrio shilonii,Vibrio mediterranei,689,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Accacoelium contortum,Accacoelium contortum,116724,Accacoelium,Accacoeliidae,Azygiida,Trematoda
Anchistrocephalus microcephalus,Anchistrocephalus microcephalus,116756,Anchistrocephalus,Triaenophoridae,Bothriocephalidea,Cestoda
Capsala martinieri,Capsala martinieri,119074,Capsala,Capsalidae,Capsalidea,Monogenea
Bianium spongiosum,Pelopscreadium spongiosum,681662,Pelopscreadium,Lepocreadiidae,Plagiorchiida,Trematoda
Diploproctodaeum momoaafata,Diploproctodaeum momoaafata,681675,Diploproctodaeum,Lepocreadiidae,Plagiorchiida,Trematoda
Hypocreadium toombo,Hypocreadium toombo,681683,Hypocreadium,Lepocreadiidae,Plagiorchiida,Trematoda
Lobatocreadium exiguum,Lobatocreadium exiguum,681691,Lobatocreadium,Lepocreadiidae,Plagiorchiida,Trematoda
Pseudopycnadena tendu,Pseudopycnadena tendu,682149,Pseudopycnadena,Opecoelidae,Plagiorchiida,Trematoda
Vibrio diabolicus,Vibrio diabolicus,50719,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Vibrio fortis,Vibrio fortis,212667,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Vibrio nereis,Vibrio nereis,693,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Opistholebes amplicoelus,Opistholebes amplicoelus,117241,Opistholebes,Opecoelidae,Plagiorchiida,Trematoda
Batrachochytrium dendrobatidis,Batrachochytrium dendrobatidis,109871,Batrachochytrium,NA,Rhizophydiales,Chytridiomycetes
Rhodococcus fascians,Rhodococcus fascians,1828,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinomycetia
Serratia plymuthica,Serratia plymuthica,82996,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
Polystoma claudecombesi,Polystoma claudecombesi,581046,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Nyctotheroides deslierresae,Nyctotheroides deslierresae,94672,Nyctotheroides,Nyctotheridae,Clevelandellida,Armophorea
Gorgoderina attenuata,Gorgoderina attenuata,651029,Gorgoderina,Gorgoderidae,Plagiorchiida,Trematoda
Diplorchis shilinensis,Diplorchis shilinensis,556882,Diplorchis,Polystomatidae,Polystomatidea,Monogenea
Protoopalina intestinalis,Protoopalina intestinalis,286699,Protoopalina,Opalinidae,Opalinata,Bigyra
Haematoloechus abbreviatus,Haematoloechus abbreviatus,138585,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Rhabdias sphaerocephala,Rhabdias sphaerocephala,400398,Rhabdias,Rhabdiasidae,Rhabditida,Chromadorea
Trichomitus batrachorum,Trichomitus batrachorum,5732,Trichomitus,Hypotrichomonadidae,Hypotrichomonadida,NA
Francisella tularensis,Francisella tularensis,263,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria
Chlamydophila pneumoniae,Chlamydia pneumoniae,83558,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
Eastern equine encephalitis virus,Eastern equine encephalitis virus,11021,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Diplorchis ranae,Diplorchis ranae,355638,Diplorchis,Polystomatidae,Polystomatidea,Monogenea
Polystoma occipitalis,Polystoma occipitalis,338082,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Haematoloechus exoterorchis,Haematoloechus exoterorchis,212220,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Haematoloechus micrurus,Haematoloechus micrurus,212224,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Elizabethkingia meningoseptica,Elizabethkingia meningoseptica,238,Elizabethkingia,Weeksellaceae,Flavobacteriales,Flavobacteriia
Tritrichomonas augusta,Tritrichomonas augusta,5725,Tritrichomonas,Tritrichomonadidae,Tritrichomonadida,NA
Polystoma gallieni,Polystoma gallieni,117897,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Polystoma nearcticum,Polystoma nearcticum,140310,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Sundapolystoma chalconotae,Sundapolystoma chalconotae,198344,Sundapolystoma,Polystomatidae,Polystomatidea,Monogenea
Polystoma marmorati,Polystoma marmorati,152032,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Polystoma australis,Polystoma australis,140307,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Glypthelmins poncedeleoni,Glypthelmins poncedeleoni,317609,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
Rauschiella tineri,Rauschiella tineri,317608,Rauschiella,Plagiorchiidae,Plagiorchiida,Trematoda
Brucella inopinata,Brucella inopinata,1218315,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria
Langeronia macrocirra,Langeronia macrocirra,879978,Langeronia,Pleurogenidae,Plagiorchiida,Trematoda
Haematoloechus complexus,Haematoloechus complexus,108531,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Haematoloechus varioplexus,Haematoloechus varioplexus,168654,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Glypthelmins brownorumae,Glypthelmins brownorumae,241481,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
Glypthelmins pennsylvaniensis,Glypthelmins pennsylvaniensis,177583,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
Glypthelmins quieta,Glypthelmins quieta,116858,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
Gorgodera amplicava,Gorgodera amplicava,651028,Gorgodera,Gorgoderidae,Plagiorchiida,Trematoda
Gyrodactylus jennyae,Gyrodactylus jennyae,552510,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Haematoloechus breviplexus,Haematoloechus breviplexus,183129,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Haematoloechus floedae,Haematoloechus floedae,212222,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Haematoloechus longiplexus,Haematoloechus longiplexus,108529,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Haematoloechus parviplexus,Haematoloechus parviplexus,201295,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Trypanosoma rotatorium,Trypanosoma rotatorium,43999,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
Gorgoderina simplex,Gorgoderina simplex,651030,Gorgoderina,Gorgoderidae,Plagiorchiida,Trematoda
Haematoloechus coloradensis,Haematoloechus coloradensis,108530,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Glypthelmins californiensis,Glypthelmins californiensis,241484,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
Haematoloechus illimis,Haematoloechus illimis,108592,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Haematoloechus macrorchis,Haematoloechus macrorchis,212223,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Alaria mustelae,Alaria mustelae,669500,Alaria,Diplostomidae,Diplostomida,Trematoda
Haematoloechus medioplexus,Haematoloechus medioplexus,108532,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Ranid herpesvirus 1,Ranid herpesvirus 1,85655,Batrachovirus,Alloherpesviridae,Herpesvirales,Herviviricetes
Ranid herpesvirus 2,Ranid herpesvirus 2,389214,Batrachovirus,Alloherpesviridae,Herpesvirales,Herviviricetes
Rhabdias bakeri,Rhabdias bakeri,357928,Rhabdias,Rhabdiasidae,Rhabditida,Chromadorea
Rhabdias ranae,Rhabdias ranae,357927,Rhabdias,Rhabdiasidae,Rhabditida,Chromadorea
Western equine encephalitis virus,Western equine encephalitis virus,11039,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Apharyngostrigea pipientis,Apharyngostrigea pipientis,234879,Apharyngostrigea,Strigeidae,Diplostomida,Trematoda
Glypthelmins tuxtlasensis,Glypthelmins tuxtlasensis,241480,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
Haematoloechus danbrooksi,Haematoloechus danbrooksi,201296,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Haematoloechus meridionalis,Haematoloechus meridionalis,152300,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Pseudosonsinotrema chabaudi,Pseudosonsinotrema chabaudi,881015,Pseudosonsinotrema,Pleurogenidae,Plagiorchiida,Trematoda
Spirometra erinaceieuropaei,Spirometra erinaceieuropaei,99802,Spirometra,Diphyllobothriidae,Diphyllobothriidea,Cestoda
Chlamydia pneumoniae,Chlamydia pneumoniae,83558,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
Proteus mirabilis,Proteus mirabilis,584,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria
Parapolystoma bulliense,Parapolystoma bulliense,355640,Parapolystoma,Polystomatidae,Polystomatidea,Monogenea
Polystoma umthakathi,Polystoma umthakathi,140305,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Polystoma pelobatis,Polystoma pelobatis,152037,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Polystoma fuscus,Polystoma fuscus,152034,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Amphibiocystidium ranae,Amphibiocystidium ranae,265895,Amphibiocystidium,NA,Dermocystida,Ichthyosporea
Brandesia turgida,Brandesia turgida,232400,Brandesia,Pleurogenidae,Plagiorchiida,Trematoda
Goussia neglecta,Goussia neglecta,586548,Goussia,Eimeriidae,Eucoccidiorida,Conoidasida
Hyaloklossia lieberkuehni,Hyaloklossia lieberkuehni,162052,Hyaloklossia,Sarcocystidae,Eucoccidiorida,Conoidasida
Pleurogenoides medians,Pleurogenoides medians,177592,Pleurogenoides,Pleurogenidae,Plagiorchiida,Trematoda
Prosotocus confusus,Prosotocus confusus,232402,Prosotocus,Pleurogenidae,Plagiorchiida,Trematoda
Protoopalina japonica,Protoopalina japonica,224198,Protoopalina,Opalinidae,Opalinata,Bigyra
Sindbis virus,Sindbis virus,11034,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Polystoma cuvieri,Polystoma cuvieri,140309,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Polystoma dawiekoki,Polystoma dawiekoki,338081,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Polystoma baeri,Polystoma baeri,152042,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Metapolystoma cachani,Metapolystoma cachani,581045,Metapolystoma,Polystomatidae,Polystomatidea,Monogenea
Metapolystoma brygoonis,Metapolystoma brygoonis,140301,Metapolystoma,Polystomatidae,Polystomatidea,Monogenea
Haematoloechus variegatus,Haematoloechus variegatus,99674,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Opisthioglyphe ranae,Opisthioglyphe ranae,99720,Opisthioglyphe,Telorchiidae,Plagiorchiida,Trematoda
Goussia noelleri,Goussia noelleri,586549,Goussia,Eimeriidae,Eucoccidiorida,Conoidasida
Polystoma combesi,Polystoma combesi,152036,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Haplometrana intestinalis,Haplometrana intestinalis,317606,Haplometrana,Plagiorchiidae,Plagiorchiida,Trematoda
Candidotrema loossi,Candidotrema loossi,232416,Candidotrema,Microphallidae,Plagiorchiida,Trematoda
Cephalogonimus retusus,Cephalogonimus retusus,116774,Cephalogonimus,Cephalogonimidae,Plagiorchiida,Trematoda
Diplodiscus subclavatus,Diplodiscus subclavatus,116843,Diplodiscus,Diplodiscidae,Plagiorchiida,Trematoda
Gorgodera cygnoides,Gorgodera cygnoides,99733,Gorgodera,Gorgoderidae,Plagiorchiida,Trematoda
Haematoloechus asper,Haematoloechus asper,99743,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
Skrjabinoeces similis,Skrjabinoeces similis,116948,Skrjabinoeces,Plagiorchiidae,Plagiorchiida,Trematoda
Eimeria ranae,Eimeria ranae,556924,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Pleurogenes claviger,Pleurogenes claviger,99692,Pleurogenes,Pleurogenidae,Plagiorchiida,Trematoda
Polystoma integerrimum,Polystoma integerrimum,92217,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Brucella melitensis,Brucella melitensis,29459,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria
Polystoma indicum,Polystoma indicum,355643,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Wetapolystoma almae,Wetapolystoma almae,142060,Wetapolystoma,Polystomatidae,Polystomatidea,Monogenea
Choledocystus hepaticus,Choledocystus hepaticus,317612,Choledocystus,Plagiorchiidae,Plagiorchiida,Trematoda
Ochoterenella royi,Ochoterenella royi,463146,Ochoterenella,Onchocercidae,Rhabditida,Chromadorea
Ochrobactrum anthropi,Ochrobactrum anthropi,529,Ochrobactrum,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria
Rhabdias pseudosphaerocephala,Rhabdias pseudosphaerocephala,400397,Rhabdias,Rhabdiasidae,Rhabditida,Chromadorea
Zeylanurotrema spearei,Zeylanurotrema spearei,232592,Zeylanurotrema,Brachylaimidae,Diplostomida,Trematoda
Pseudodiplorchis americanus,Pseudodiplorchis americanus,117901,Pseudodiplorchis,Polystomatidae,Polystomatidea,Monogenea
Eupolystoma vanasi,Eupolystoma vanasi,355639,Eupolystoma,Polystomatidae,Polystomatidea,Monogenea
Neodiplorchis scaphiopi,Neodiplorchis scaphiopi,198345,Neodiplorchis,Polystomatidae,Polystomatidea,Monogenea
Polystoma testimagna,Polystoma testimagna,140306,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Polystoma lopezromani,Polystoma lopezromani,140308,Polystoma,Polystomatidae,Polystomatidea,Monogenea
Cephalochlamys namaquensis,Cephalochlamys namaquensis,406060,Cephalochlamys,Cephalochlamydidae,Pseudophyllidea,Cestoda
Mycobacterium liflandii,Mycobacterium liflandii,261524,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Mycobacterium ulcerans,Mycobacterium ulcerans,1809,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Mycobacterium xenopi,Mycobacterium xenopi,1789,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Protopolystoma xenopodis,Protopolystoma xenopodis,117903,Protopolystoma,Polystomatidae,Polystomatidea,Monogenea
Protopolystoma occidentalis,Protopolystoma occidentalis,338083,Protopolystoma,Polystomatidae,Polystomatidea,Monogenea
Protopolystoma orientalis,Protopolystoma orientalis,444298,Protopolystoma,Polystomatidae,Polystomatidea,Monogenea
Protopolystoma simplicis,Protopolystoma simplicis,444295,Protopolystoma,Polystomatidae,Polystomatidea,Monogenea
Ambystoma tigrinum virus,Ambystoma tigrinum virus,265294,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes
Euryhelmis costaricensis,Euryhelmis costaricensis,676601,Euryhelmis,Heterophyidae,Opisthorchiida,Trematoda
Sphyranura oligorchis,Sphyranura oligorchis,117907,Sphyranura,Sphyranuridae,Polystomatidea,Monogenea
Pseudopolystoma dendriticum,Pseudopolystoma dendriticum,593113,Pseudopolystoma,Polystomatidae,Polystomatidea,Monogenea
Brachycoelium salamandrae,Brachycoelium salamandrae,99727,Brachycoelium,Brachycoeliidae,Plagiorchiida,Trematoda
Columbid alphaherpesvirus 1,Columbid alphaherpesvirus 1,93386,Mardivirus,Herpesviridae,Herpesvirales,Herviviricetes
Columbid herpesvirus 1,Columbid alphaherpesvirus 1,93386,Mardivirus,Herpesviridae,Herpesvirales,Herviviricetes
Haemoproteus elani,Haemoproteus elani,702360,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
Leucocytozoon toddi,Leucocytozoon toddi,289426,Leucocytozoon,Leucocytozoidae,Haemosporida,Aconoidasida
Chlamydia psittaci,Chlamydia psittaci,83554,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
Coxiella burnetii,Coxiella burnetii,777,Coxiella,Coxiellaceae,Legionellales,Gammaproteobacteria
Fowlpox virus,Fowlpox virus,10261,Avipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Mycoplasma lipofaciens,Mycoplasma lipofaciens,114884,Mycoplasmopsis,Mycoplasmataceae,Mycoplasmatales,Mollicutes
Campylobacter jejuni,Campylobacter jejuni,197,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
Trypanosoma avium,Trypanosoma avium,43998,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
Ornithobacterium rhinotracheale,Ornithobacterium rhinotracheale,28251,Ornithobacterium,Weeksellaceae,Flavobacteriales,Flavobacteriia
Clostridium vulturis,Clostridium vulturis,1157312,Clostridium,Clostridiaceae,Eubacteriales,Clostridia
Canarypox virus,Canarypox virus,44088,Avipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Corynebacterium falsenii,Corynebacterium falsenii,108486,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinomycetia
Sarcocystis falcatula,Sarcocystis falcatula,32593,Sarcocystis,Sarcocystidae,Eucoccidiorida,Conoidasida
Trypanosoma bennetti,Trypanosoma bennetti,71803,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
Budgerigar fledgling disease polyomavirus,Aves polyomavirus 1,1891747,Gammapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Mycobacterium avium,Mycobacterium avium,1764,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Pasteurella multocida,Pasteurella multocida,747,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Usutu virus,Usutu virus,64286,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Bacillus anthracis,Bacillus anthracis,1392,Bacillus,Bacillaceae,Bacillales,Bacilli
Mycoplasma vulturii,Mycoplasma vulturii,219290,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
Staphylococcus aureus,Staphylococcus aureus,1280,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli
Psittaciform 1 bornavirus,Psittaciform 1 orthobornavirus,1548713,Orthobornavirus,Bornaviridae,Mononegavirales,Monjiviricetes
Avian coronavirus,Avian coronavirus,694014,Gammacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Murine coronavirus,Murine coronavirus,694005,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Japanese encephalitis virus,Japanese encephalitis virus,11072,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Avian paramyxovirus 4,Avian paramyxovirus 4,28274,Paraavulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Avian paramyxovirus 6,Avian metaavulavirus 6,2560316,Metaavulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Avian paramyxovirus 8,Avian metaavulavirus 8,2560318,Metaavulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Avian paramyxovirus 9,Avian orthoavulavirus 9,2560326,Orthoavulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Gallid herpesvirus 2,Gallid alphaherpesvirus 2,10390,Mardivirus,Herpesviridae,Herpesvirales,Herviviricetes
Infectious bursal disease virus,Infectious bursal disease virus,10995,Avibirnavirus,Birnaviridae,NA,NA
Waterbird 1 bornavirus,Waterbird 1 orthobornavirus,1548722,Orthobornavirus,Bornaviridae,Mononegavirales,Monjiviricetes
Avian metapneumovirus,Avian metapneumovirus,38525,Metapneumovirus,Pneumoviridae,Mononegavirales,Monjiviricetes
Avian paramyxovirus 7,Avian metaavulavirus 7,2560317,Metaavulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Pseudocorynosoma constrictum,Pseudocorynosoma constrictum,500319,Pseudocorynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala
Tick-borne encephalitis virus,Tick-borne encephalitis virus,11084,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Trichobilharzia querquedulae,Trichobilharzia querquedulae,596247,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
Trichobilharzia regenti,Trichobilharzia regenti,157069,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
Trichobilharzia szidati,Trichobilharzia szidati,157070,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
Anatid alphaherpesvirus 1,Anatid alphaherpesvirus 1,104388,Mardivirus,Herpesviridae,Herpesvirales,Herviviricetes
Bilharziella polonica,Bilharziella polonica,100590,Bilharziella,Schistosomatidae,Strigeidida,Trematoda
Tete orthobunyavirus,Tete orthobunyavirus,35319,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Trichobilharzia franki,Trichobilharzia franki,178317,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
Tetratrichomonas gallinarum,Tetratrichomonas gallinarum,5730,Tetratrichomonas,Trichomonadidae,Trichomonadida,NA
Actinobacillus anseriformium,Actinobacillus anseriformium,221404,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Arcobacter thereius,Arcobacter thereius,544718,Aliarcobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
Aroa virus,Aroa virus,64303,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Avastrovirus 2,Avastrovirus 2,1239438,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Avastrovirus 3,Avastrovirus 3,1239439,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Avian orthoreovirus,Avian orthoreovirus,38170,Orthoreovirus,Reoviridae,Reovirales,Resentoviricetes
Avian paramyxovirus 2,Avian metaavulavirus 2,2560313,Metaavulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Avian paramyxovirus 3,Avian paraavulavirus 3,2560327,Paraavulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Avian sapelovirus,Avian sapelovirus,686983,Sapelovirus,Picornaviridae,Picornavirales,Pisoniviricetes
Bacillus fordii,Bacillus fordii,254759,Bacillus,Bacillaceae,Bacillales,Bacilli
